"Themes","右栏2列"
"Save and Continue Edit","保存并继续编辑"
"Are you sure you want to delete this theme?","你确定你想要删除这个主题?"
"Theme: %1","主题: %1"
"New Theme","新主题"
"Theme CSS","主题的 css 文件"
"Theme CSS Assets","主题 CSS 资产"
"Custom CSS","自定义 CSS"
"Select CSS File to Upload","选择 CSS 文件上传"
"Upload CSS File","CSS 文件上传"
"Download CSS File","CSS 文件下载"
"Manage","管理"
"Upload Images","上传图片"
"Images Assets","图像资产"
"Upload Fonts","上传字体"
"Fonts Assets","字体的资产"
"Edit custom.css","编辑 custom.css"
"Allowed file types *.css.","允许文件类型 *.css。"
"This file will replace the current custom.css file and can't be more than 2 MB.","此文件将替换当前的 custom.css 文件，并且不能超过 2 MB。"
"Max file size to upload %1M","最大文件大小上传 %1M"
"Something is wrong with the file upload settings.","文件上载设置出毛病了。"
"CSS Editor","CSS 编辑器"
"Theme Settings","主题设置"
"Parent Theme","父主题"
"Theme Path","主题路径"
"Theme Title","主题标题"
"Theme Preview Image","主题预览图像"
"General","基本的"
"Copy of %1","%1 的副本"
"Max image size %1M","最大图像大小 %1M"
"Theme JavaScript","主题 JavaScript"
"Select JS Files to Upload","选择 JS 文件上传"
"Upload JS Files","JS 文件上传"
"JS Editor","JS 编辑器"
"Allowed file types *.js.","允许文件类型 *.js。"
"Theme","网站模板"
"Media Storage","多媒体储存"
"Create Folder","创建文件夹"
"Delete Folder","删除文件夹"
"Delete File","删除文件"
"Insert File","我们不能删除根目录%1现在。"
"New Folder Name:","新文件夹的名称:"
"Are you sure you want to delete this folder?","确实要删除此文件夹吗?"
"Are you sure you want to delete this file?","是否确实要删除此文件?"
"Storage Root","存储根"
"You deleted the theme.","你删除的主题。"
"We cannot delete the theme.","我们不能删除该主题。"
"File not found: ""%1"".","找不到文件:""%1""。"
"We can't find file.","我们找不到文件。"
"We cannot find theme ""%1"".","我们找不到主题""%1""。"
"We cannot find the theme.","我们找不到主题。"
"This theme is not editable.","这个主题不是可编辑的。"
"You saved the theme.","你保存主题。"
"We can't upload the CSS file right now.","我们现在不能上传的 CSS 文件。"
"We cannot find a theme with id ""%1"".","我们找不到 id 为""%1""的主题。"
"We can't upload the JS file right now.","我们现在不能上传 JS 文件。"
"Sorry, something went wrong. That's all we know.","对不起，出了错。这是我们都知道。"
"Invalid type","无效的类型"
"Exception does not contain field '%1'","异常不包含字段 '%1'"
"Invalid regular expression: ""%1"".","无效的正则表达式:""%1""。"
"label","标签"
"-- Please Select --","-- 请选择 --"
"The start date can't follow the end date.","开始日期不能遵循的结束日期。"
"The date range for this design change overlaps another design change for the specified store.","此设计更改的日期范围重叠另一设计更改为指定的商店。"
"Copy","您阅读的当前页"
"Theme id should be set","应设置主题 id"
"Circular-reference in theme inheritance detected for ""%1""","在主题继承为""%1""检测到循环引用"
"The CSS file must be less than %1M.","CSS 文件必须小于 %1M。"
"The JS file must be less than %1M.","JS 文件必须小于 %1M。"
"We can't upload the file right now.","我们现在不能上传文件。"
"Use only standard alphanumeric, dashes and underscores.","使用只有标准的字母数字、 破折号和下划线。"
"We found a directory with the same name.","我们发现一个具有相同名称的目录。"
"We cannot find a directory with this name.","我们找不到具有此名称的目录。"
"We can't delete root directory %1 right now.","我们现在不能删除根目录 %1。"
"Theme isn't deletable.","主题不能删除。"
"localized exception","本地化的异常"
"Message","信息"
"Test Label","测试标签"
"Phrase","短语"
"testMessage","testMessage"
"exception","例外"
"We found no files.","我们发现，没有文件。"
"Browse Files","浏览文件"
"Remove","删除"
"Help Us Keep Magento Healthy","帮助我们保持 Magento 健康"
